workerIdAnon,stimID,stimulus,pot,stimFileName,time_to_load,time_to_serve,trial_number,respTimer,Annoyed,Apprehensive,Contemptuous,Content,Devastated,Disappointed,Disgusted,Embarrassed,Excited,Furious,Grateful,Guilty,Hopeful,Impressed,Jealous,Joyful,Proud,Relieved,Surprised,Terrified
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,272.2,272_2,81899.0,272_2t.mp4,1.115,0.001,3,55.797,0,0,0,15,0,0,0,0,14,0,21,6,24,0,0,15,12,39,24,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,264.1,264_1,24145.0,264_1t.mp4,0.774,0.0,4,49.315,0,0,0,0,17,28,0,8,0,0,0,0,0,0,0,0,0,0,15,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,239.2,239_2,94819.0,239_2t.mp4,1.189,0.0,5,48.101,0,0,0,25,0,0,0,0,40,0,24,0,0,0,0,44,47,40,23,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,263.1,263_1,28802.0,263_1t.mp4,0.873,0.001,6,53.555,38,3,10,0,20,47,42,0,0,0,0,0,0,0,0,0,1,0,8,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,285.2,285_2,2300.5,285_2t.mp4,0.943,0.001,7,47.206,0,0,0,32,0,0,0,0,15,0,16,0,10,0,0,23,44,30,17,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,263.2,263_2,28802.0,263_2t.mp4,0.839,0.001,8,47.379,24,0,0,0,37,45,32,0,0,4,0,0,0,0,0,0,0,0,23,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,250.1,250_1,30304.5,250_1t.mp4,0.996,0.001,9,47.797,0,0,0,26,0,0,0,0,44,0,43,0,0,24,0,48,24,44,39,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,268.1,268_1,61381.5,268_1t.mp4,1.429,0.001,10,50.307,0,0,0,39,0,0,0,0,48,0,42,0,0,0,0,48,48,26,0,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,287.2,287_2,1030.5,287_2t.mp4,0.83,0.001,11,52.19,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,254.2,254_2,130884.0,254_2t.mp4,3.149,3.154,0,80.731,0,7,0,24,0,0,0,0,44,0,41,0,26,24,0,41,42,28,18,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,257.2,257_2,30.0,257_2t.mp4,4.122,0.001,1,54.259,0,0,0,26,0,0,0,0,33,0,24,0,27,37,0,28,46,26,13,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,241.1,241_1,80954.5,241_1t.mp4,3.415,0.001,2,54.45,0,28,0,17,0,0,0,0,24,0,27,0,32,24,0,32,26,48,30,28
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,240.1,240_1,36159.0,240_1t.mp4,4.059,0.001,3,74.043,0,27,0,18,0,0,0,10,19,0,24,0,0,17,0,25,24,27,28,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,281.1,281_1,1803.0,281_1t.mp4,3.963,0.003,4,72.44,30,31,0,11,19,48,0,18,0,0,12,0,0,0,8,0,14,13,17,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,271.1,271_1,19025.5,271_1t.mp4,5.232,0.001,5,69.06,33,23,29,0,23,34,24,19,2,17,13,0,0,0,31,0,14,0,30,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,263.2,263_2,28802.0,263_2t.mp4,3.541,0.001,6,51.469,18,29,0,0,20,28,0,0,18,0,0,0,15,0,24,14,0,12,48,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,270.2,270_2,5322.5,270_2t.mp4,4.372,0.001,7,76.027,0,43,0,13,0,24,0,0,12,0,16,0,24,0,0,9,0,21,24,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,289.2,289_2,822.5,289_2t.mp4,4.346,0.001,8,64.681,19,25,0,0,31,45,0,33,0,11,14,0,0,0,7,0,0,0,0,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,276.2,276_2,130944.0,276_2t.mp4,3.42,0.001,9,63.907,0,39,0,0,24,28,0,24,0,0,0,0,24,0,0,13,0,15,35,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,286.2,286_2,3532.5,286_2t.mp4,3.489,0.002,10,49.905,0,0,0,26,0,0,0,0,25,0,27,0,24,26,0,26,30,34,0,0
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,239.2,239_2,94819.0,239_2t.mp4,4.507,0.002,11,55.586,0,37,0,24,0,0,0,0,39,0,28,0,30,24,0,29,38,40,38,0
5f3f4f6ce2527d6e312257a455c92a05727a4c0184d4be0accba0c90,262.2,262_2,56488.0,262_2t.mp4,5.919,5.927,0,53.85,0,0,0,39,0,0,0,2,41,0,24,0,0,5,0,44,13,39,27,0
5f3f4f6ce2527d6e312257a455c92a05727a4c0184d4be0accba0c90,268.1,268_1,61381.5,268_1t.mp4,5.573,0.005,1,43.056,0,0,0,40,0,0,0,0,36,0,39,0,2,5,0,40,32,42,27,2
5f3f4f6ce2527d6e312257a455c92a05727a4c0184d4be0accba0c90,271.2,271_2,19025.5,271_2t.mp4,7.572,0.002,2,48.748,44,22,23,0,34,43,11,27,0,7,0,0,0,0,4,0,0,0,31,14
5f3f4f6ce2527d6e312257a455c92a05727a4c0184d4be0accba0c90,281.2,281_2,1803.0,281_2t.mp4,7.762,0.003,3,54.649,15,0,3,26,0,8,0,10,14,0,16,0,17,8,5,19,9,16,15,11
5f3f4f6ce2527d6e312257a455c92a05727a4c0184d4be0accba0c90,265.1,265_1,1588.0,265_1t.mp4,6.503,0.002,4,47.701,29,0,6,0,12,34,7,24,16,4,0,0,0,0,2,3,0,0,34,7
5f3f4f6ce2527d6e312257a455c92a05727a4c0184d4be0accba0c90,288.2,288_2,15744.5,288_2t.mp4,10.686,0.002,5,39.655,0,0,0,41,0,0,0,0,42,0,31,0,18,5,0,41,44,39,25,0
